"id","prevExp","jobResp","training","research","gathering","engage","metrics","socialMedia","degree","security","position","newsroom","engageFreq","subregion","researchFreq"
996,"3","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:2,9:1,10:1,11:2,12:3,13:2,14:1,15:2,16:2,17:1,18:1,19:1,20:2,21:2,22:1,23:1,24:1,25:3","4,6,7,16,17,23,24","4,15","1,2,9,10,16,19,20","1,2,9,13,16","2,3,5,7,8,18","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:2,11:2,12:3","1","8","7",4,"1:3,2:3,3:3,4:3,5:1,6:1,7:2","Latin America and the Caribbean","1:3,2:3,3:3,4:2,5:2,6:1,7:1,8:2,9:1"
997,"7","1:3,2:1,3:0,4:1,5:0,6:0,7:0,8:1,9:2,10:2,11:2,12:3,13:0,14:0,15:2,16:3,17:2,18:3,19:0,20:0,21:1,22:1,23:3,24:0,25:2","5,14,18,23,24","4,9,11,15","1,2,3,9,17,18,20","2,16","4","1:3,2:2,3:3,4:1,5:3,6:2,7:3,8:3,9:2,10:2,11:2,12:3","4","8","5",1,"1:3,2:3,3:0,4:2,5:0,6:0,7:0","Latin America and the Caribbean","1:3,2:3,3:0,4:2,5:1,6:3,7:0,8:2,9:0"
998,"7","1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:2,10:2,11:0,12:0,13:0,14:0,15:2,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:2,24:2,25:0","23,24","13,15","1,2,9,12,14,17,20","2,16","null","1:3,3:3,7:3,8:2,12:3","1","8","6",1,"1:3,2:3","null","1:3,2:3,3:2,4:2,5:0,6:0,7:2,8:2,9:0"
999,"2,3,5","1:3,2:3,4:3,8:3,9:3,16:2,17:2,18:2,19:2,21:2,22:2,24:1","2,4,5,7,17,23,24","1,4,5,8,9,15","1,2,5,9,12,17,20","1,2,16","2,3,4,5,6","1:2,2:2,3:2,4:2,7:2,8:2","3","8","5",1,"1:3,2:3","Latin America and the Caribbean","1:2,2:2,4:2"
1000,"1,2,3","1:3,2:2,3:3,4:1,5:1,6:1,7:1,8:1,9:1,10:1,11:1,12:3,13:2,14:1,15:1,16:2,17:1,18:1,19:1,20:1,21:1,22:1,23:2,24:1,25:1","1,2,14,23,24","1,4,9,15","1,3","1,2,7,16","2,7,8","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:3,11:2,12:3","1","6,8","5",1,"1:2,2:3,3:0,4:2,5:2,6:0,7:0","Latin America and the Caribbean","1:3,2:3,3:0,4:3,5:3,6:1,7:1,8:1,9:0"
1001,"1,3,6","1:3,2:3,3:1,5:0,6:0,7:3,8:2,9:2,10:2,11:3,12:2,13:0,14:0,15:2,16:1,17:1,18:1,19:0,20:0,21:1,22:1,23:2,24:2,25:3","2,5,6,23,24","1,2,3,15","1,3,5,7,9,10,14,17,19,20","1,2,13,16","1,2,3,4,5,6,7,8,9","1:2,2:2,3:2,4:2,5:2,6:2,7:3,8:1,9:1,10:2,11:2,12:2","3","8","8",1,"1:2,2:1,3:1,4:1,5:2,6:1,7:1","Latin America and the Caribbean","1:2,2:1,3:2,4:3,5:0,6:3,7:2,8:2,9:0"
1002,"2,3,5","1:3,2:3,3:1,4:1,5:0,6:0,7:3,8:3,9:3,10:0,11:3,12:3,13:1,14:0,15:0,16:3,17:3,18:0,19:0,20:0,21:2,22:0,23:3,24:0,25:0","3,4,5,14,15,16,19,23,24","1,3,4,6,9,15","2,5,8,9,10,12,14,17,18,20,21","1,2,7,16","1,2,4,7,21","2:3,3:3,6:3,7:3,8:3,9:3,11:3,12:3","1","6,8","6",4,"2:3,5:3,6:3","Latin America and the Caribbean","1:0,2:3,3:0,4:0,5:0,6:3,7:3,8:3,9:0"
1003,"7","1:3,8:3,9:3,17:3,23:3,25:3","2,4,7,12,18,23,24","1,2,4,15","1,2,3,7,17,18,20","1,2,11,12,16","1,5,6,12,20,21","1:3,2:3,3:3,6:3,7:3,8:3,9:3,11:3","1","2,3,8","6",1,"1:3,5:3,6:3,7:3","Latin America and the Caribbean","1:3,2:3,6:3,7:3,8:3"
1004,"2,3","1:3,2:2,3:2,4:2,5:0,6:2,7:0,8:3,9:1,10:0,11:1,12:3,13:2,14:0,15:1,16:3,17:3,18:2,19:1,20:1,21:1,22:1,23:2,24:2,25:2","5,11,19,23,24","1,4,9,15","1,2,7,9,12,17,20","1,2,3,7,11,12,16","2,3,4,8,16,18,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","2,3,8","5",4,"1:3,2:3,3:0,4:1,5:2,6:2,7:2","Latin America and the Caribbean","1:3,2:3,3:0,4:2,5:0,6:2,7:2,8:2,9:1"
1005,"7","1:0,2:2,3:0,4:0,5:0,6:0,7:0,8:3,9:1,10:1,11:1,12:1,13:0,14:0,15:0,16:1,17:0,18:0,19:0,20:0,21:0,22:0,23:3,24:0,25:0","1,2,4,5,8,15,16,17,23,24","4,15","1,7,9,12,14,20","2,16","22","1:2,2:2,3:2,4:2,5:2,6:1,7:2,8:2,9:2,10:2,11:1,12:2","1","6,8","5",6,"1:2,2:0,3:0,4:0,6:0,7:0","Latin America and the Caribbean","1:2,2:2,3:2,4:2,5:0,6:1,7:1,8:2,9:0"
1006,"1,3","1:3,2:3,3:2,4:3,5:1,6:1,7:0,8:1,9:1,10:1,11:2,12:2,13:2,14:0,15:3,16:2,17:2,18:3,19:2,20:0,21:2,22:2,23:3,24:2,25:3","10,11,14,23,24","2,3,9,15","1,2,9,10,14,17,20","2,12,13,16","1,2,3,4,5,7,12,16,18,19,21","1:2,2:2,3:2,4:1,5:2,6:3,7:2,8:2,9:2,10:1,11:1,12:3","1","6,8","7",4,"1:3,2:3,3:2,4:2,5:2,6:0,7:1","Latin America and the Caribbean","1:2,2:2,3:2,4:2,5:1,6:2,7:1,8:1,9:0"
1007,"1","1:3,2:3,3:2,4:1,5:2,6:1,7:1,8:3,9:2,10:2,11:2,12:2,13:1,14:0,15:0,16:3,17:2,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:1","23,24","15","null","16","null","null","null","8","6",4,"null","null","null"
1008,"1,2,3,4","1:3,2:3,3:1,4:1,5:2,6:0,7:2,8:3,9:3,10:2,11:3,12:3,13:3,14:0,15:2,16:2,17:3,18:0,19:0,20:0,21:2,22:2,23:2,24:0,25:3","4,6,7,8,11,12,14,23,24","4,9,14,15","1,2,9,10,14,17,18,20,21","1,2,13,16","2,4,5,6,8,16,17,20,21","1:3,2:3,3:2,4:3,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:3","1","2,4,8","6",1,"1:3,2:3,3:1,4:1,5:2,6:0,7:2","Latin America and the Caribbean","1:3,2:3,3:2,4:2,5:0,6:3,7:2,8:3,9:0"
1009,"7","1:3,2:3,3:0,4:2,5:0,6:0,7:0,8:0,9:0,10:0,11:3,12:1,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:3,24:2,25:0","1,23,24","1,15","2","2,13,16","2","1:2,2:2,3:2,4:2,5:1,6:1,7:2,8:2,9:2,10:1,11:1,12:2","1","8","6",1,"1:2,2:1,3:1,4:1,5:2,6:1,7:1","Europe","1:2,2:2,3:2,4:2,5:0,6:1,7:0,8:1,9:0"
1010,"1,3,5","null","23,24","15","null","16","null","null","1","8","2",4,"null","null","null"
1011,"5","null","23,24","15","null","16","null","null","1","8","8",1,"null","null","null"
1012,"2,5,6","1:03","23,24","15","null","16","null","null","4","8","8",1,"null","null","null"
1013,"1,2,3,5,6","1:3,2:2,3:1,4:3,5:0,6:0,7:0,8:1,9:0,10:2,11:1,12:1,13:3,14:0,15:3,16:3,17:3,18:2,19:2,20:1,21:1,22:2,23:3,24:2,25:3","23,24","15","null","16","null","null","1","8","5",6,"null","null","null"
1014,"3","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:3,9:3,10:2,11:2,12:3,13:2,14:1,15:3,16:3,17:3,19:2,20:2,21:3,22:3,23:3,24:1,25:3","2,3,4,5,6,7,9,19,23,24","1,4,15","1,2,5,9,10,11,14,17,18,20","2,3,5,7,11,13,16","2,4,5,6,7,9,14,16,17,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","6,8","6",1,"1:3,2:2,3:2,4:1,5:3,6:2,7:2","Latin America and the Caribbean","1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:2,9:0"
1015,"3,6","null","23,24","15","null","16","null","null","4","8","5",4,"null","null","null"
1016,"2,3,4,5,6","1:3,2:2,3:1,4:1,5:0,6:0,7:0,8:3,9:1,10:1,11:1,12:2,13:3,14:0,15:1,16:2,17:0,18:0,19:0,20:0,21:0,22:0,23:1,24:0,25:0","1,2,3,4,5,6,7,12,13,14,15,16,17,18,19,20,21,23,24","4,9,12,15","1,2,3,5,8,9,10,12,14,17,18,19,20,21","2,5,12,16","2,3,4,5,7,8,9,12,15,16,18,19,20,21","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:3,10:1,11:2,12:3","2","6,8","8",1,"1:3,2:3,3:2,4:0,5:3,7:3","Latin America and the Caribbean","1:2,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3"
1017,"1,3","1:3,2:3,3:0,4:0,5:0,6:0,7:2,8:2,9:3,10:3,11:0,12:3,13:0,14:0,15:3,16:3,17:2,18:3,19:1,20:0,21:1,22:1,23:3,24:2,25:3","1,2,3,4,5,6,7,8,9,10,15,16,23,24","1,2,4,15","1,2,3,8,9,12,14,17,20","2,11,13,16","4","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:2,9:3,10:2,11:2,12:3","1","6,8","8",4,"1:3,2:3,3:0,4:0,5:3,6:1,7:1","Latin America and the Caribbean","1:2,2:3,3:3,4:2,5:0,6:2,7:2,8:3,9:0"
1018,"1","1:3,2:2,3:1,4:1,5:0,6:0,7:0,8:3,9:3,10:2,11:0,12:3,13:1,14:1,15:1,16:3,17:3,18:2,19:1,20:1,21:3,22:3,23:3,24:0,25:0","1,2,5,19,23,24","1,7,9,15","1,2,5,8,9,10,12,14,17,19,20,21","2,11,12,16","1,2,4,5,7,19,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:0,11:3,12:3","1","3,8","6",1,"1:3,2:3,3:0,4:1,5:2,6:2,7:2","null","1:3,2:3,3:1,4:3,5:1,6:3,7:3,8:3"
1019,"1,5","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:2,9:2,10:0,11:0,12:1,13:0,14:0,15:2,16:1,17:1,18:2,19:0,20:0,21:2,22:2,23:2,24:0,25:1","4,6,8,15,18,23,24","4,15","1,2,7,20,21","2,16","2,5,8,18,19,20,21","1:3,2:3,3:3,4:2,5:3,6:1,7:3,8:1,9:3,10:2,11:2,12:3","null","8","8",6,"1:3,2:3,3:0,4:0,5:1,6:0,7:0","Latin America and the Caribbean","1:3,2:3,3:0,4:3,5:0,6:3,7:1,8:0,9:0"
1020,"2,3","1:2,2:3,3:3,4:3,5:0,6:0,7:1,8:3,9:2,10:1,11:3,12:3,13:3,14:0,15:1,16:1,17:2,18:2,19:0,20:2,21:1,22:1,23:2,24:3,25:2","1,2,4,5,7,8,9,10,11,15,17,18,19,21,23,24","1,2,4,9,15","1,2,4,5,8,9,10,11,14,16,17,18,19,20,21","1,2,4,5,7,9,11,12,13,16","2,4,5,7,18,19","1:2,2:2,3:3,4:1,5:3,6:2,7:2,8:3,9:3,10:2,11:2,12:3","null","6,8","1",1,"1:3,2:3,3:0,4:3,5:2,6:0,7:0","Latin America and the Caribbean","1:2,2:2,3:0,4:1,5:2,6:2,7:2,8:2,9:1"
1021,"2,3","null","23,24","15","null","16","null","null","1","8","9",3,"null","null","null"
1022,"1,2,3,4","1:3,2:3,3:3,4:2,5:2,6:2,7:2,8:3,9:3,10:3,11:3,12:2,13:2,14:1,15:2,16:3,17:3,18:0,19:0,20:0,21:0,22:3,23:3,24:2,25:3","2,4,6,23,24","1,4,6,9,15","2,3,5,9,14,19","2,11,16","22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","5",6,"1:3,2:3,3:3,4:1,5:3,7:3","Latin America and the Caribbean","1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3,9:0"
1023,"2,4","1:03","2,4,12,23,24","4,6,9,15","3,7,8,20","2,4,7,13,16","2,3,6,7,18","1:3,2:3,3:3,5:3,9:3,12:3","1,4","6,8","6",4,"1:3,3:3","Latin America and the Caribbean","1:2,4:2,7:2"
1024,"6","1:2,2:3,3:3,4:3,5:2,6:2,7:3,8:2,9:2,10:2,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:2,25:2","1,2,4,10,23,24","4,15","1,2,10","1,2,4,5,12,13,16","7,11","1:2,2:3,3:3,4:3,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","1","2,8","8",1,"1:2,2:3,3:0,4:2,5:0,6:0,7:1","Latin America and the Caribbean","1:2,2:3,3:0,4:2,5:3,6:0,7:0,8:2,9:0"
1025,"5","null","23,24","15","null","16","null","null","1","8","1",6,"null","null","null"
1026,"1,3,5","1:3,2:1,3:2,4:1,5:0,6:0,7:1,8:2,9:0,10:3,11:3,12:3,13:2,14:0,15:3,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:1,24:0,25:3","1,2,4,5,16,23,24","1,4,7,15","2,3,9,10,11,12,14,18,19,20","2,16","2,4,5","1:2,2:3,3:3,4:2,5:3,6:3,7:2,8:1,9:2,10:1,11:0,12:3","4","2,8","5",1,"1:0,2:3,3:0,4:0,5:0,6:0,7:0","Latin America and the Caribbean","1:0,2:3,3:3,4:3,5:2,6:3,7:0,8:0,9:0"
1027,"1,4,6","1:3,2:1,3:2,4:2,5:0,6:0,7:0,8:3,9:3,10:3,11:3,12:3,13:1,14:2,15:2,16:2,17:2,18:0,19:0,20:0,21:2,22:2,23:2,24:1,25:3","1,4,8,23,24","1,4,7,8,9,15","1,2,5,8,10,17,18,20,21","2,7,11,16","2,3,4,6,7,8,11,18","1:3,2:3,3:3,4:2,5:2,6:2,7:3,8:3,9:3,10:2,11:2,12:3","1","2,4,8","7",1,"1:3,2:3,3:0,4:1,5:2,6:1,7:3","Latin America and the Caribbean","1:3,2:3,3:1,4:2,5:0,6:3,7:1,8:2,9:0"
1028,"2,3","1:3,2:3,3:1,4:1,5:0,6:0,7:2,8:2,9:1,10:1,11:1,12:2,13:2,14:1,15:1,16:3,17:3,18:3,19:1,20:1,21:1,22:1,23:3,24:1,25:3","2,4,20,23,24","1,4,15","1,2,8,9,10,12,14,17,20","2,7,12,16","2,4,5,6,7,9,11,12,16,17,18,21","1:3,2:3,3:2,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","3,8","6",1,"1:3,2:3,3:2,4:2,5:3,6:2,7:2","Latin America and the Caribbean","1:3,2:3,3:2,4:3,5:0,6:3,7:2,8:3,9:0"
1029,"2,4,6","1:1,2:1,3:3,4:3,5:1,6:1,7:1,8:2,9:1,10:1,11:2,12:1,13:3,14:0,15:0,16:2,17:2,18:2,19:1,20:1,21:1,22:1,23:1,24:2,25:2","1,4,5,9,23,24","1,4,9,15","1,2,8,17,18,19","1,2,3,16","1,2,4,6,10,11,18,20","1:2,2:3,3:3,4:3,5:3,6:2,7:2,8:2,9:2,10:2,11:3,12:2","1","6,8","7",1,"1:3,2:2,3:1,4:1,5:3,6:0,7:1","Latin America and the Caribbean","1:3,2:3,3:3,4:3,5:1,6:1,7:1,8:1,9:1"
1030,"2","1:3,2:3,3:2,4:2,5:2,6:3,7:1,8:3,9:3,10:3,11:2,12:3,13:2,14:1,15:2,16:3,17:2,18:3,19:2,20:3,21:2,22:2,23:2,24:3,25:2","2,4,5,6,7,8,11,13,18,19,23,24","1,15","1,2,3,4,5,8,9,11,14","2,16","2,3,4,5","1:3,2:3,3:3,4:1,5:3,6:3,7:2,8:3,9:3,10:3,11:2,12:3","1","2,3,4,8","4",4,"1:3,2:3,3:2,4:2,5:3,6:3,7:2","Latin America and the Caribbean","1:3,2:2,3:2,4:2,5:2,6:3,7:2,8:3,9:2"
1031,"1","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","1,4,5,23,24","1,4,15","1,2,4,9,10,14,18,20","2,16","23","1:2,2:3,3:2,4:2,5:3,6:3,7:3,8:2,9:2,10:0,11:0,12:3","1","6,8","6",6,"1:1,2:3,3:0,4:0,5:1,6:0,7:0","Latin America and the Caribbean","1:3,2:3,3:2,4:2,5:1,6:3,7:0,8:2,9:0"
1032,"1,2,3,4","1:3,2:1,3:2,4:2,5:2,6:2,7:2,8:3,9:2,10:2,11:2,12:2,13:1,14:1,15:2,16:2,17:2,18:2,19:2,20:1,21:1,22:1,23:3,24:3,25:3","23,24","1,2,4,15","1,2,9,10,11,12,17,20","16","null","null","1","8","6",1,"null","null","1:3,2:3,3:1,4:3,5:1,6:3,7:2,8:2,9:0"
1033,"2,3,5,6","1:0,2:0,3:0,4:0,5:0,6:1,7:0,8:2,9:2,10:1,11:0,12:0,13:0,14:0,15:0,16:3,17:2,18:2,19:1,20:0,21:0,22:0,23:0,24:0,25:3","1,2,4,23,24","1,4,6,15","1,2,5,10,12,18","1,2,13,16","1,2,3,4,6,7,8","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:2,11:1,12:1","1","6,8","5",6,"1:3,2:3,3:0,4:0,5:2,6:1,7:1","Latin America and the Caribbean","1:3,2:3,3:1,4:2,5:0,6:1,7:1,8:2,9:0"
1034,"3","1:3,2:2,3:3,4:3,5:1,6:1,7:3,8:1,9:3,10:3,11:3,12:3,13:1,14:0,15:3,16:3,17:3,18:0,20:1,21:3,22:3,23:1,24:2,25:3","1,2,4,5,16,19,20,23,24","1,2,3,4,6,9,15","1,3,5,10,14,17,18,20","1,2,4,7,11,12,13,16","1,2,3,4,5,6,7,8,9,16,18,19,20,21","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:2,11:2,12:3","1","8","6",3,"1:3,2:3,3:1,4:3,5:3,6:2,7:3","Latin America and the Caribbean","1:3,2:3,3:1,4:3,5:2,6:3,7:2,8:2,9:1"
1035,"3","1:2,2:2,3:0,4:1,5:0,6:0,7:1,8:1,9:1,10:3,11:1,12:1,13:0,14:0,15:3,16:1,17:0,18:1,19:2,20:0,21:3,22:3,23:3,24:3,25:3","1,4,9,10,16,23,24","4,6,9,15","2,5,14,17,18,20","2,6,12,16","2,3,4","1:3,2:3,3:3,4:1,5:3,6:2,7:3,8:3,9:3,10:0,11:0,12:0","null","2,8","6",4,"1:2,2:3,3:1,4:1,5:3,6:1,7:2","Latin America and the Caribbean","1:1,2:3,3:0,4:2,5:2,6:2,7:1,8:1,9:1"
1036,"3","1:3,2:3,3:3,4:3,5:1,6:2,7:3,8:3,9:2,10:2,11:3,12:3,13:3,14:1,15:2,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:3,24:2,25:2","23,24","1,3,4,15","2,3,5,9,10,12,20","2,5,16","null","null","2","8","8",1,"1:2,2:3,3:2,5:2,6:2,7:2","null","1:3,2:3,3:1,4:3,5:2,6:2,7:2,8:2,9:2"
1038,"4,6","1:3,2:3,3:3,4:3,5:1,6:1,7:2,8:3,9:2,10:2,11:3,12:3,13:2,14:0,15:3,16:3,17:3,18:3,19:2,20:2,21:2,22:2,23:3,24:2,25:2","1,4,5,7,9,10,12,15,17,19,23,24","4,15","1,2,3,9,10","2,16","1,2,4","1:1,2:1,3:1,4:1,5:1,6:2,7:2,8:1,9:2,10:2,11:2,12:2","1","8","10",4,"1:3,2:3,3:0,4:3,5:0,6:1,7:1","Latin America and the Caribbean","1:2,2:2,3:0,4:2,5:1,6:0,7:2,8:2,9:0"
1039,"2","1:2,2:3,3:2,4:1,5:1,6:2,7:2,8:2,9:3,10:3,11:2,12:2,13:1,14:1,15:1,16:1,17:1,18:1,19:1,20:1,21:1,22:1,23:1,24:2,25:1","4,17,19,23,24","3,4,7,9,15","1,2,5,9,10,12,14,15,17,18,20,21","1,2,7,11,12,13,16","2,4,5,7,21","1:2,2:3,3:3,4:3,5:1,6:2,7:3,8:2,9:1,10:2,11:2,12:3","1","6,8","8",6,"1:2,2:3,3:2,4:2,5:3,6:1,7:2","Latin America and the Caribbean","1:3,2:3,3:2,4:2,5:1,6:3,7:2,8:3,9:1"
1040,"7","1:3,2:3,3:0,4:1,5:0,6:0,7:0,8:2,9:3,10:3,11:3,12:3,13:1,14:0,15:3,16:3,17:3,18:3,19:0,20:3,21:3,22:3,23:1,24:1,25:3","4,16,18,23,24","4,5,9,15","2,9,14,17,20","2,12,13,16","1,2,6,7,18,20","1:1,2:3,3:2,4:1,5:2,6:3,7:2,8:2,9:3,10:1,11:1,12:3","4","6,8","5",4,"1:3,2:3,3:3,4:0,5:1,6:0,7:0","North America","1:1,2:3,3:2,4:0,5:2,6:3,7:0,8:1,9:0"
1041,"1,2,3,4","1:3,2:1,3:2,4:1,5:0,6:0,7:1,8:2,9:1,10:0,11:1,12:1,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:1,25:2","4,8,17,23,24","1,4,9,15","1,2,7,8,9,10,11,12,14,17,19,20","2,16","22","1:2,2:3,3:3,4:3,5:1,6:2,7:3,8:3,9:3,10:1,11:2,12:2","1,4","3,8","6",4,"1:3,2:3,3:2,4:3,5:3,6:2,7:2","Latin America and the Caribbean","1:3,2:3,3:2,4:2,5:1,6:3,7:2,8:2,9:0"
1042,"1,2,3,4,6","1:3,2:3,3:2,4:2,5:2,6:2,7:2,8:3,9:2,10:2,11:3,12:3,13:2,14:0,15:1,16:3,17:3,18:3,19:2,20:1,21:2,22:3,23:2,24:2,25:2","4,6,10,11,15,16,17,19,23,24","1,4,9,15","1,2,3,4,5,8,9,12,14,16,17,18,20,21","2,16","2,3,4,6,7,12,13,15,16,17,19,20,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:2,11:3,12:3","1,4","1,3,4,5,8","7",4,"1:3,2:3,6:3","Latin America and the Caribbean","1:3,2:3,3:1,4:3,5:3,6:3,7:3,8:3,9:2"
1043,"1,2","1:3,3:3,11:3","2,4,5,6,7,8,9,10,11,12,15,16,18,19,20,21,23,24","1,3,4,15","1,2,17,18,20","2,3,11,12,13,16","2","2:2,4:3,5:3,6:3,7:3,10:3,11:3,12:3","1","6,8","6",1,"1:3,2:3,4:3,5:3","Latin America and the Caribbean","1:1,2:1,4:1,6:2,7:2"
1044,"1,4","1:3,2:1,3:1,4:1,6:1,7:1,8:3,9:1,10:3,11:3,12:3,13:1,14:1,15:1,16:2,17:3,18:2,19:2,20:3,21:3,22:2,23:2,24:2,25:3","1,4,15,16,17,19,23,24","1,4,15","1,2,3,12,14,17,18,20","2,11,13,16","2,4,5,7,8,9","1:3,2:3,3:3,4:3,7:3,8:3,9:3,10:3,11:3,12:3","null","6,8","8",1,"1:3,2:3,3:0,4:1,5:3,6:3,7:3","Latin America and the Caribbean","1:3,2:3,3:0,4:3,5:3,6:3,7:3,8:3,9:1"
1045,"1,2,5","1:3,2:2,3:1,4:3,5:1,6:3,7:0,8:3,9:0,10:1,11:2,12:3,13:1,14:0,15:0,16:3,17:2,18:3,19:0,20:0,21:2,22:2,23:1,24:0,25:3","2,3,4,5,6,7,8,13,14,15,18,19,23,24","1,2,4,5,15","1,2,12","1,2,4,7,16","2,7,8,9,16,18,19,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:2,11:2,12:3","1","6,8","7",1,"1:3,2:3,3:3,4:3,5:3,6:1,7:1","Latin America and the Caribbean","1:2,2:2,3:2,4:2,5:0,6:2,7:1,8:1,9:0"
1046,"7","null","23,24","15","null","16","null","null","null","8","6",1,"null","null","null"
1047,"1,2,3,6","1:3,2:3,3:3,4:3,5:0,6:3,7:3,8:3,9:0,10:0,11:3,12:3,13:0,14:0,15:0,16:3,17:3,18:3,19:3,20:3,21:0,22:0,23:3,24:0,25:3","1,2,5,10,23,24","4,9,15","1","2,13,16","7","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,3,4","6,8","8",4,"1:3,3:3","North America","1:3,2:3,3:3,4:3,5:0,6:3,7:0,8:0,9:0"
1048,"7","1:3,2:3,3:1,4:2,5:0,6:0,7:3,8:2,9:3,10:2,11:2,12:2,13:0,14:0,15:3,16:3,17:3,18:3,19:3,20:2,21:2,22:3,23:3,24:3,25:3","1,2,4,5,6,8,10,11,18,23,24","4,12,15","1,2,8,17,20,21","2,3,4,12,13,16","22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:1,10:3,11:3,12:3","1","8","6",1,"1:3,2:3,3:3","Europe","1:3,2:3,3:3,8:3"
1049,"7","1:3,2:1,3:1,4:2,5:0,6:0,7:3,8:3,9:3,10:2,11:0,12:1,13:0,14:0,15:2,16:2,17:1,18:1,19:1,20:0,21:1,22:1,23:2,24:2,25:2","6,9,17,23,24","4,7,12,15","1,2,9,10,12,14,17,18,20","2,4,7,16","2,3,8,16,17,18,21","1:3,2:3,3:2,4:1,5:3,6:3,7:3,8:2,9:2,10:0,11:0,12:3","1","4,7,8","8",4,"1:3,2:3,3:0,4:1,5:0,6:0,7:0","Latin America and the Caribbean","1:2,2:3,3:2,4:2,5:1,6:3,7:1,8:2,9:0"
1050,"1,2,3,4","1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:1,11:0,12:0,13:0,14:0,15:0,16:3,17:1,18:0,19:3,20:0,21:3,22:3,23:0,24:0,25:0","4,5,20,23,24","1,4,9,15","1,2,4,5,9,10,12,14,16,17,18,19,20,21","2,16","2,3,4,5,7,16,17,18,19,21","1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3,9:2,10:1,11:1,12:3","1","4,8","8",1,"1:2,2:3,3:1,4:2,5:3,6:1,7:1","Latin America and the Caribbean","1:3,2:3,3:2,4:3,5:3,6:3,7:1,8:1,9:0"
1052,"1,3","1:3,2:3,3:1,4:3,5:0,6:0,7:0,8:3,9:2,10:1,11:1,12:1,13:0,14:0,15:0,16:2,17:1,18:2,19:0,20:2,21:2,22:2,23:2,24:2,25:2","2,4,9,16,23,24","1,4,12,15","1,2,5,10,18,20","1,2,4,11,16","1,2,7,8,11,16,18","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:2,10:1,11:0,12:3","1","6,8","6",6,"1:3,2:3,3:1,4:3,5:3,6:0,7:0","Latin America and the Caribbean","1:3,2:3,3:1,4:3,5:2,6:3,7:1,8:1,9:2"
1053,"3,4","1:3,2:3,3:3,4:2,5:2,6:0,7:2,8:2,9:2,10:3,11:2,12:3,13:1,14:0,15:3,16:3,17:2,18:1,19:0,20:0,21:0,22:0,23:2,24:0,25:2","11,15,16,23,24","1,4,9,15","1,2,14,18,20","2,11,12,16","2,4,6,7,8,10,16,18,19,20","1:3,2:3,3:3,4:2,5:3,6:2,7:3,8:3,9:2,10:1,11:1,12:2","1","6,8","6",1,"1:3,2:3,3:1,4:1,5:3,6:2,7:1","Latin America and the Caribbean","1:3,2:3,3:1,4:1,5:0,6:3,7:2,8:1,9:0"
